address,content_count,in,out,peers_connected,peers_good,peers_total,time
1MNb8vJAyyYEhmn5Lo962DttpGE7NYp4Yp,7,5922569,91,0,0,0,1457961122.31
165eqHdoQfyf7CVGqtVCGNDvMBZhwVSJBL,49,1832181,15153,0,0,0,1457961122.31
1Gfey7wVXXg1rxk751TBTxLJwhddDNfcdp,1,164546883,137858190,0,0,0,1457961122.31
18LCHTNzfWRSuABmpTd2rqZG71LLcXhgHE,1,2415,979,0,0,0,1457961122.31
16LWwkDHxYzxT1XsQm3sxjG43BqzovVAJT,2,360846,0,0,0,0,1457961122.31
1Q7dKG1kLuGfUwKdwbVfC7sKo7hEF5nbEr,4,4525210,0,0,0,0,1457961122.31
1Gif7PqWTzVWDQ42Mo7np3zXmGAo3DXc7h,465,59474273,17745133,0,0,0,1457961122.31
13dFL5m6hf9e82JrBUWiTBdTtbdoHJEUM4,1,36506,0,0,0,0,1457961122.31
1K5CGPwisBNFoWRThY9ZLfeJVqN757aLke,1,120777,0,0,0,0,1457961122.31
1LtvsjbtQ2tY7SCtCZzC4KhErqEK3bXD4n,50,2646053,10447,0,0,0,1457961122.31
13rV6Z9HjvFMjioh7qUVWsaNzHDeAU3sb5,3,582344,0,0,0,0,1457961122.31
1Vp5LH4wegCaqeB72yMw2jgNdVm4aR7ET,69,2081994,10416,0,0,0,1457961122.31
1HAFn2Rg9VPtyzq7dixenHD9sekiX9Pzv3,2,3902611,0,0,0,0,1457961122.31
1K28kQFMquNzto2iQf4GGjr6oFUbC1NddE,118,5200737,1031739,0,0,0,1457961122.31
17T9yUUqAkboMP2hjwSafrHkuMgApuXAmR,3,1441384,0,0,0,0,1457961122.31
1TaLkFrMwvbNsooF4ioKAY9EuxTBTjipT,1464,26638677,10581613,0,0,0,1457961122.31
163ZAwi5BcGBm6UEwdJF1pkcejDMCT1kAj,1,29598939,0,0,0,0,1457961122.31
148or6yKMeNV4qdmKyCtpaNiFAeU1cccCw,1,985718,284758,0,0,0,1457961122.31
1MaiL5gfBM1cyb4a8e3iiL8L5gXmoAJu27,3281,234636098,261223025,0,0,0,1457961122.31
1PwzQR48SRYjQ5a2LAehD5QQaKnPHiQxi8,3,2448232,5356,0,0,0,1457961122.31
1Cec5T5m7woi3xdEWHZ9eV66j6BEmrE5xx,1,0,0,0,0,0,1457961122.31
18JPEXtjZ4fxQ4BgCwCigVfTAk2opAnoD8,4,428005,546,0,0,0,1457961122.31
14y3fN1A214HYdKe5f6WnQdfT3PdKLSAJo,1,37173,0,0,0,0,1457961122.31
16Px6Jf5u2wsrrhe1opM1VwZFWqrnB9fwN,8,39218665,0,0,0,0,1457961122.31
1Name2NXVi1RDPDgf5617UoW7xA6YrhM9F,1,1459221,119659,0,0,0,1457961122.31
1F6u3BdECcupyy7mraLGsko56XUCS38DBr,1,61479,32768,0,0,0,1457961122.31
17Kom2G5qNDc6NaQwv445h1gFzxkY3ZtZe,1,2215035,0,0,0,0,1457961122.31
1EUGheuNTLTg5SBi2Dao2TkKURkwQBCSgd,6,340821,136112,0,0,0,1457961122.31
1Mr5rX9TauvaGReB4RjCaE6D37FJQaY5Ba,1,446790,0,0,0,0,1457961122.31
1ErLDXv36Kd2CQvkr3ZMsnRcLg8ixnUxq4,1,5036770,0,0,0,0,1457961122.31
1BrodevWLcCZNwcdQK9v2FknSBUhK281oT,1,19132398,1974,0,0,0,1457961122.31
1C2JhCunGLtvyX56nQ88tcb87WnXspjWN,55,109531479,1261219,0,0,0,1457961122.31
1FhhawHHvgLg5LS1w3w7DxT8KJSPihG9Cv,1,65977,0,0,0,0,1457961122.31
1BLogC9LN4oPDcruNz3qo1ysa133E9AGg8,174,3969323,3906,0,0,0,1457961122.31
1CiAFnnf6kb2G1GzDV1FhttTWNxCa4mShn,23,3430665,2708277,0,0,0,1457961122.31
