time,address,peers_connected,peers_good,content_count,out,in
2016-03-15_21-16-04,1MNb8vJAyyYEhmn5Lo962DttpGE7NYp4Yp,4,4,8,91,5934771
2016-03-15_21-16-04,15GAu5QYg34TLzD4b2WMpZSid9S2K6M54h,0,0,1,0,6789
2016-03-15_21-16-04,165eqHdoQfyf7CVGqtVCGNDvMBZhwVSJBL,0,0,54,17429,1895963
2016-03-15_21-16-04,1Gfey7wVXXg1rxk751TBTxLJwhddDNfcdp,0,0,1,170663684,191127493
2016-03-15_21-16-04,18LCHTNzfWRSuABmpTd2rqZG71LLcXhgHE,0,0,1,979,2415
2016-03-15_21-16-04,16LWwkDHxYzxT1XsQm3sxjG43BqzovVAJT,0,0,2,0,360846
2016-03-15_21-16-04,1Q7dKG1kLuGfUwKdwbVfC7sKo7hEF5nbEr,0,0,4,0,4525210
2016-03-15_21-16-04,1Gif7PqWTzVWDQ42Mo7np3zXmGAo3DXc7h,0,0,482,20688420,69013766
2016-03-15_21-16-04,13dFL5m6hf9e82JrBUWiTBdTtbdoHJEUM4,0,0,1,0,36506
2016-03-15_21-16-04,1K5CGPwisBNFoWRThY9ZLfeJVqN757aLke,0,0,1,0,120777
2016-03-15_21-16-04,1PLAYgDQboKojowD3kwdb3CtWmWaokXvfp,4,4,1,411054,14083080
2016-03-15_21-16-04,13rV6Z9HjvFMjioh7qUVWsaNzHDeAU3sb5,1,1,3,0,582344
2016-03-15_21-16-04,1QEsP1TSUH2qKGNXtCNhhfmmQbNMw8WZXR,0,0,1,0,393161
2016-03-15_21-16-04,1KdF3z61jUqqcfLnufJJs8MbuHwfQwjS89,0,0,5,0,416191
2016-03-15_21-16-04,1HAFn2Rg9VPtyzq7dixenHD9sekiX9Pzv3,0,0,2,0,3902611
2016-03-15_21-16-04,1K28kQFMquNzto2iQf4GGjr6oFUbC1NddE,0,0,126,1286284,5953201
2016-03-15_21-16-04,17T9yUUqAkboMP2hjwSafrHkuMgApuXAmR,0,0,3,0,1442157
2016-03-15_21-16-04,16g8mFUtLsQBM6bPMJ6xEEQWLWAufnzEXA,0,0,4,0,551553
2016-03-15_21-16-04,1NJyPoPpL8At17T6G7A1qHVQdqZDBmXcLT,0,0,46,0,286058
2016-03-15_21-16-04,1TaLkFrMwvbNsooF4ioKAY9EuxTBTjipT,0,0,1489,15440573,34892115
2016-03-15_21-16-04,163ZAwi5BcGBm6UEwdJF1pkcejDMCT1kAj,0,0,1,0,29598939
2016-03-15_21-16-04,148or6yKMeNV4qdmKyCtpaNiFAeU1cccCw,0,0,1,284758,985718
2016-03-15_21-16-04,1LtvsjbtQ2tY7SCtCZzC4KhErqEK3bXD4n,0,0,54,27992,2666926
2016-03-15_21-16-04,1PwzQR48SRYjQ5a2LAehD5QQaKnPHiQxi8,0,0,3,5356,2448232
2016-03-15_21-16-04,1Cec5T5m7woi3xdEWHZ9eV66j6BEmrE5xx,0,0,1,19139,0
2016-03-15_21-16-04,18JPEXtjZ4fxQ4BgCwCigVfTAk2opAnoD8,0,0,4,546,428005
2016-03-15_21-16-04,14y3fN1A214HYdKe5f6WnQdfT3PdKLSAJo,0,0,1,0,37173
2016-03-15_21-16-04,1NfVz57ebbUae6DiksXR88ZgwY9VY1jQiH,0,0,28,0,583803
2016-03-15_21-16-04,16Px6Jf5u2wsrrhe1opM1VwZFWqrnB9fwN,0,0,8,0,39218665
2016-03-15_21-16-04,1Name2NXVi1RDPDgf5617UoW7xA6YrhM9F,0,0,1,276168,1815161
2016-03-15_21-16-04,1F6u3BdECcupyy7mraLGsko56XUCS38DBr,0,0,1,49152,61479
2016-03-15_21-16-04,17Kom2G5qNDc6NaQwv445h1gFzxkY3ZtZe,0,0,1,0,2475590
2016-03-15_21-16-04,1EUGheuNTLTg5SBi2Dao2TkKURkwQBCSgd,0,0,6,193456,340821
2016-03-15_21-16-04,1MaiL5gfBM1cyb4a8e3iiL8L5gXmoAJu27,0,0,3367,282929188,284802462
2016-03-15_21-16-04,1Mr5rX9TauvaGReB4RjCaE6D37FJQaY5Ba,0,0,1,0,597389
2016-03-15_21-16-04,1BrodevWLcCZNwcdQK9v2FknSBUhK281oT,0,0,1,1974,19154102
2016-03-15_21-16-04,1C2JhCunGLtvyX56nQ88tcb87WnXspjWN,0,0,55,1261219,125184919
2016-03-15_21-16-04,1FhhawHHvgLg5LS1w3w7DxT8KJSPihG9Cv,0,0,1,0,65977
2016-03-15_21-16-04,1BLogC9LN4oPDcruNz3qo1ysa133E9AGg8,0,0,177,3906,4021386
2016-03-15_21-16-04,1CiAFnnf6kb2G1GzDV1FhttTWNxCa4mShn,0,0,23,3414968,4911133
2016-03-15_21-16-04,13NS3rSzCTpAYtH997rphfZDaWRypyjwnU,0,0,1,40960,3072275
2016-03-15_21-16-04,1NpNCPyBpZaGe9BdhuVAkwqVZXg8Hy7VB,0,0,24,49988,22297124
2016-03-15_21-16-04,14weBe8CQHen9U1LG4gE2bxg76QMCGsQoS,0,0,16,0,3782529
2016-03-15_21-16-04,1BasxToLP7Wadjv8VjxVXQwmneDfqpJbwg,0,0,1,0,1470321
2016-03-15_21-16-04,192dZ1EG5tU7PnCfuwGMDEBrr2eLqvs4t3,0,0,108,89903195,309993700
2016-03-15_21-16-04,13x71nc7fju6afMqpEPfcu3Gx9Z5hNhH48,0,0,15,0,13607071
2016-03-15_21-16-04,1LC3ryygCrv94ZK4Nk8ELW6vE1hKwopE8T,0,0,1,0,295744
2016-03-15_21-16-04,1B3MjcF3y7UiSMgevjnso5JVNFMz2ci2ME,0,0,1,3777707,0
2016-03-15_21-16-04,12bbAvpTQZEeWd8wQDk49fgjPCcn7Qni7M,0,0,1,0,16063921
2016-03-15_21-16-04,1HR2mJHeC1vs3XTTcX2X6BDcdRZZDNXZKV,0,0,21,1051083,2526293
2016-03-15_21-16-04,1iD5ZQJMNXu43w1qLB8sfdHVKppVMduGz,0,0,1,100494117,101590418
2016-03-15_21-16-04,17wNH5uEUyWhGT8rDrABdJrJ4udGLtC9oJ,0,0,1,0,8810
2016-03-15_21-16-04,138R53t3ZW7KDfSfxVpWUsMXgwUnsDNXLP,0,0,31,757608,3060449
2016-03-15_21-16-04,1Nepe91gkzrRbPXE1LKaAQm42ERoiAUhhu,0,0,1,0,2297638
2016-03-15_21-16-04,1Lod6THUt6v6ebZdBF2voYMk2QfvLvPm4q,0,0,1,0,14904240
